request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_185,318.41,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Wait until 15 January 2026, then pay EUR 1,257.30 in full. Paying sooner would put the EUR 1,300 minimum at risk."
request_186,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the ZAR 22,000 minimum protected."
request_187,38384.36,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Wait until 15 November 2024, then pay INR 187,500 in full. Paying sooner would put the INR 128,300 minimum at risk."
request_188,0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Please pay EUR 488.40 today. This ensures you maintain a balance of at least EUR 400 over the next 90 days.
request_190,528.67,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"To protect the EUR 1,600 minimum, wait until 15 February 2025 to pay the full EUR 2,557.50. Making the payment before this date would put those funds at risk."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Please pay EUR 664.40 today. This payment ensures you retain at least EUR 500 in available funds over the next 90 days.
request_192,113.88,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 May 2026. None of the available options keeps the USD 1,000 minimum protected."
request_193,23.01,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available."
request_194,40302.8,affordable_later,wait,2025-10-15:132800,2025-10-15,none,"Wait until 15 October 2025, then pay INR 132,800 in full. Paying sooner would put the INR 113,600 minimum at risk."
request_195,162.02,not_affordable,not_recommended,none,,none,Do not make this payment by 11 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,21755630.56,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 January 2026. None of the available options preserve the required IDR 26,245,900 minimum balance."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Please pay INR 185,800 today. This payment ensures you retain at least INR 124,300 for the next 90 days."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Please pay in 3 installments of IDR 8,206,986.67, beginning 7 September 2024. This plan ensures you retain a remaining balance of at least IDR 25,359,500."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1,400 available."
request_204,521.63,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Wait until 15 January 2026, then pay EUR 588.74 in full. Paying sooner would put the EUR 1,300 minimum at risk."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"To maintain a balance of at least EUR 900, please pay in three installments of EUR 486.96. These payments will begin on 3 August 2025."
request_207,4205.61,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Do not pay earlier, as doing so would jeopardize the ZAR 13,600 minimum."
request_208,3104179.08,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Please wait until 15 June 2024 to pay the full IDR 4,413,000. Paying earlier would jeopardize the IDR 10,470,700 minimum requirement."
request_209,1808.74,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18,400 minimum protected."
request_210,965.41,affordable_with_plan,partial_payment,2026-04-06:965.41|2026-04-15:394.61,2026-04-15,none,"Pay USD 965.41 now, then the remaining USD 394.61 on 15 April 2026. This leaves at least USD 2,000 available."
request_211,288.07,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 1,788.60 in full. Paying sooner would put the EUR 1,500 minimum at risk."
request_212,5431241.08,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Please pay in three installments of USD 1,165.63, beginning on 21 January 2026. This schedule ensures you maintain a balance of at least USD 2,100."
request_214,38111.54,affordable_with_plan,partial_payment,2024-12-04:38111.54|2024-12-15:31638.46,2024-12-15,none,"Pay INR 38,111.54 now and the remaining INR 31,638.46 on 15 December 2024. This payment plan ensures you retain at least INR 174,900 in available funds."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Please pay in 3 installments of ZAR 10,395.15, beginning on 9 May 2025. This plan ensures you retain a remaining balance of at least ZAR 15,700."
request_216,376.71,affordable_with_plan,wait,2026-09-15:3332.40,,reduce_to:projected_dining_2026-07-09:0|stop:projected_streaming_2026-07-08,"Reduce the bakery and snacks to USD 0; Stop the video streaming plan, then pay USD 3,332.40 on 15 September 2026. This leaves at least USD 1,800 available."
request_217,19686.45,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12,889.07, starting 19 March 2024. This leaves at least ZAR 26,800 available."
request_218,24552135.34,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 7 August 2025. This leaves at least IDR 34,477,200 available."
request_219,661.51,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1,100 available."
request_220,50.71,not_affordable,not_recommended,none,,none,"Do not make this payment by 3 July 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Please pay INR 109,800 today. This ensures you maintain a balance of at least INR 81,500 over the next 90 days."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Please pay ZAR 34,078 today. This action ensures at least ZAR 27,300 remains available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Please pay EUR 898.70 today. This ensures you maintain a balance of at least EUR 800 over the next 90 days.
request_224,8538319.65,affordable_with_plan,partial_payment,2025-02-04:8538319.65|2025-02-15:1788680.35,2025-02-15,none,"Pay IDR 8,538,319.65 now, then the remaining IDR 1,788,680.35 on 15 February 2025. This leaves at least IDR 22,187,600 available."
request_225,9380382.41,not_affordable,not_recommended,none,2026-09-15,none,"Do not make this payment by 21 September 2026. None of the available options keeps the IDR 17,670,700 minimum protected."
request_226,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2025. None of the available options keeps the INR 209,400 minimum protected."
request_227,7699.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 June 2025. None of the available options keeps the INR 62,900 minimum protected."
request_228,1327679.29,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 April 2026. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,500.25,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Please settle the balance in three installments of EUR 529.29, beginning on 18 March 2024. This payment plan ensures you maintain a minimum balance of EUR 1,000."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Please pay EUR 3,537.60 today. This payment ensures a minimum balance of EUR 2,000 remains available over the next 90 days."
request_231,32362.43,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,none,"We recommend paying in 3 installments of ZAR 12,378.08, beginning on 6 January 2026. This plan ensures you retain at least ZAR 24,300 in available funds."
request_232,251.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 2,400 minimum protected."
request_233,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,184.65,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Wait until 15 September 2026, then pay EUR 1,213.30 in full. Paying sooner would put the EUR 700 minimum at risk."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Please pay USD 967.20 today. This payment ensures you retain at least USD 700 in availability over the next 90 days.
request_236,5342597.54,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 February 2025. None of the available options preserve the IDR 16,768,600 minimum balance requirement."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Please pay IDR 23,826,000 today. This payment will ensure you have at least IDR 22,431,500 available over the next 90 days."
request_238,663.6,not_affordable,not_recommended,none,2024-12-07,none,Do not make this payment by 16 February 2025. None of the available options keeps the USD 700 minimum protected.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,14534.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the INR 52,800 minimum protected."
request_241,21052000,not_affordable,not_recommended,none,2024-03-03,none,"Do not make this payment by 25 May 2024. None of the available options keeps the IDR 19,252,000 minimum protected."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options preserve the EUR 600 minimum balance.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This ensures you maintain a balance of at least ZAR 19,900 over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Please pay ZAR 49,918 today. This ensures you maintain a balance of at least ZAR 45,900 for the next 90 days."
request_245,25758.7,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Wait until 15 January 2026, then pay INR 128,500 in full. Paying sooner would put the INR 94,600 minimum at risk."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 April 2025. None of the available options keeps the USD 1,300 minimum protected."
request_249,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 March 2026. None of the available options keeps the USD 600 minimum protected.
request_250,16056.71,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 January 2025. None of the available options preserve the ZAR 35,300 minimum balance."
request_251,662.21,not_affordable,not_recommended,none,,none,"Do not make this payment by 6 June 2025. None of the available options preserve the EUR 1,300 minimum balance."
request_252,3553677.74,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Please pay the full IDR 28,082,000 on 15 September 2026. Do not pay earlier, as doing so would jeopardize the IDR 15,152,200 minimum payment requirement."
request_253,1383.13,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This leaves at least EUR 2,300 available."
request_254,517.65,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Wait until 15 October 2025, then pay USD 3,535.20 in full. Paying sooner would put the USD 2,500 minimum at risk."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000 today. This leaves at least IDR 9,813,900 available over the next 90 days."
request_256,154879.83,not_affordable,not_recommended,none,2024-07-15,none,"Do not make this payment by 19 August 2024. None of the available options keeps the INR 168,600 minimum protected."
request_257,356.04,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Wait until 15 January 2026, then pay USD 1,352.40 in full. Paying sooner would put the USD 1,600 minimum at risk."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Please pay USD 1,113.60 today. This payment ensures you maintain a balance of at least USD 500 over the next 90 days."
request_259,219.72,affordable_later,wait,2024-11-15:935,2024-11-15,none,Wait until 15 November 2024 to pay the full EUR 935. Paying earlier would jeopardize the EUR 600 minimum requirement.
request_260,7773408.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 April 2025. None of the available options preserve the required IDR 20,727,700 minimum balance."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,6543918.06,affordable_with_plan,full_payment,2024-12-05:9236000,2025-02-15,reduce_to:projected_shopping_2025-01-13:0|reduce_to:projected_dining_2024-12-13:0|reduce_to:projected_dining_2024-12-27:0,"Reduce the household shopping to IDR 0; Reduce the neighbourhood restaurant to IDR 0; Reduce the neighbourhood restaurant to IDR 0, then pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available."
request_263,5256.59,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2025. None of the available options keeps the ZAR 24,100 minimum protected."
request_264,23012.52,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Wait until 15 June 2026, then pay INR 111,300 in full. Paying sooner would put the INR 59,500 minimum at risk."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Please pay INR 45,970 today. This payment ensures that at least INR 189,700 remains available over the next 90 days."
request_266,770.18,not_affordable,not_recommended,none,2025-09-15,none,Do not make this payment by 3 October 2025. None of the available options preserve the EUR 900 minimum balance.
request_267,1644.69,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,"We recommend paying in 3 installments of EUR 667.33, starting on 8 January 2026. This plan ensures you maintain a balance of at least EUR 1,500."
request_268,1061.93,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1,400 available."
request_269,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 January 2026. None of the available options keeps the ZAR 23,100 minimum protected."
request_270,96.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 August 2026. None of the available options keeps the USD 1,400 minimum protected."
request_271,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the INR 58,200 minimum protected."
request_272,5420361.49,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"We recommend paying in 3 installments of IDR 4,709,466.67, beginning 12 February 2025. This plan ensures you maintain a minimum available balance of IDR 7,508,600."
request_273,9476871.09,affordable_with_plan,partial_payment,2026-04-07:9476871.09|2026-04-15:6384128.91,2026-04-15,none,"Pay IDR 9,476,871.09 now, then the remaining IDR 6,384,128.91 on 15 April 2026. This leaves at least IDR 18,774,600 available."
request_274,2013.17,not_affordable,not_recommended,none,2025-02-15,none,"Do not make this payment by 11 February 2025. None of the available options keeps the EUR 1,800 minimum protected."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
